passenger_key,passenger_id,passenger_national_id,passenger_firstname,passenger_lastname,passenger_dob,passenger_nationality,passenger_email,passenger_phoneno,passenger_gender,passenger_status,frequent_flyer_tier,effective_date,expiry_date,is_current
1,e3e70682-c209-4cac-a29f-6fbed82c07cd,431-06-4243,Tammy,Tucker,2001-05-14,Switzerland,tammy59@example.org,924.321.9489x24115,Female,inactive,Bronze,2025-05-04,2026-05-04,True
2,9c6316b9-50f2-4455-af25-e2a25a921187,656-27-9053,Thomas,Grimes,1953-05-09,Sri Lanka,davismary@example.net,+1-909-375-3513x93328,Female,inactive,Platinum,2025-05-04,2026-05-04,True
3,e005b860-51ef-4922-be43-c49e149818d1,521-63-1787,Kevin,Carter,1943-06-13,Grenada,tamaramorrison@example.net,671-996-5934x2320,Female,inactive,Gold,2025-05-04,2026-05-04,True
4,c1f254b8-adc0-4a7a-96fe-baa011af923d,134-20-0634,Megan,Villanueva,2001-09-21,Mauritius,hmassey@example.com,933.796.9477x51591,Male,active,Gold,2025-05-04,2026-05-04,True
5,0426465e-3e37-452d-b0bc-ab0ed8570102,750-35-1920,Janice,Watson,1946-10-13,Japan,garciadustin@example.net,309.889.1013,Male,active,Gold,2025-05-04,2026-05-04,True
6,fb0323a1-d576-4415-9ec1-7dbe176ea1b1,119-05-9921,Andrew,Woodward,1947-11-03,British Virgin Islands,zclark@example.org,+1-208-969-1413x14562,Male,inactive,Bronze,2025-05-04,2026-05-04,True
7,b306d700-19d5-4970-98b3-3c6e0a14b90a,401-26-4263,Michael,Dennis,1995-07-15,Uruguay,heidiharris@example.org,+1-622-758-4197x20769,Male,inactive,Platinum,2025-05-04,2026-05-04,True
8,403d1f83-a859-490c-9670-f668637e0edc,158-72-0204,Stephen,Miller,1988-04-14,Mayotte,dennis75@example.net,459-592-4661x0935,Male,inactive,Platinum,2025-05-04,2026-05-04,True
9,60ef1471-72b8-4f39-a32c-9b6f391cf046,728-87-9309,Nancy,Johnson,1997-12-20,Montenegro,tbarton@example.org,(271)242-7878,Female,active,Platinum,2025-05-04,2026-05-04,True
10,d675ebf7-4fe3-4c9a-9371-0f577e9cf84f,479-07-6802,Jacob,Key,1980-07-21,Belize,valeriemorales@example.net,(650)430-0891x31934,Female,inactive,Bronze,2025-05-04,2026-05-04,True
11,ec3aa314-da9b-4017-b9c1-47c719a5711b,407-81-1333,Andrew,Sloan,1992-09-21,Brazil,dennis85@example.org,(740)200-3485,Male,active,Platinum,2025-05-04,2026-05-04,True
12,b38a05fb-f611-44ce-bfc7-4ca9d8ab0b30,623-84-8102,Jennifer,Orr,1981-01-25,Holy See (Vatican City State),jaredmatthews@example.org,(224)255-5159,Male,inactive,Gold,2025-05-04,2026-05-04,True
13,fb5eb866-2640-411e-a9f2-c3c74505f4f6,598-38-5914,Ralph,Kelley,1955-10-04,Lesotho,sarahparker@example.net,001-714-365-4611x8775,Male,inactive,Bronze,2025-05-04,2026-05-04,True
14,7f6b8793-b318-4d4c-9db2-b4527aa56a18,437-05-4947,Matthew,Mcdaniel,1945-09-13,Chad,odrake@example.org,613-930-6016,Male,active,Silver,2025-05-04,2026-05-04,True
15,95bb440d-c9cd-4af9-bd16-1f29eb8f2056,732-87-3560,Rodney,Richardson,2006-06-30,Eritrea,ryanhoward@example.org,001-408-373-1764x303,Male,inactive,Bronze,2025-05-04,2026-05-04,True
16,5c949381-60c6-43ed-b55a-3ac132ae2a20,560-20-1717,Vanessa,Bird,1945-03-03,Iraq,frich@example.net,677-438-9305x55082,Male,inactive,Platinum,2025-05-04,2026-05-04,True
